school,hatchet-code,external-id
Air Force,AF,2005
Akron,AKRN,2006
Alabama,BAMA,333
Appalachian State,APP-ST,2026
Arizona,AZ,9
Arizona State,ASU,12
Arkansas,ARK,8
Arkansas State,AR-ST,2032
Army,USMA,349
Auburn,AUB,2
Ball State,BALL,2050
Baylor,BAYL,239
Boise State,BOISE,68
Boston College,BC,103
Bowling Green State,BGSU,189
BYU,BYU,252
Buffalo,BUFF,2084
California,CAL,25
Central Michigan,C-MICH,2117
Charlotte,CLT,2429
Cincinnati,CINCI,2132,
Clemson,CLEM,228
Coastal Carolina,COASTAL,2429
Colorado,COLO,38
Colorado State,CSU,36
UConn,UCONN,41
Duke,DUKE,150
East Carolina,ECU,151
Eastern Michigan,E-MICH,2199
Florida,UF,57
Florida Atlantic,FAU,2226
Florida International,FIU,
Florida State,FSU,
Fresno State,FRESNO,
Georgia,UGA,
Georgia Southern,GA-SO,
Georgia State,GA-ST,
Georgia Tech,GT,
Hawaii,HAWAII,
Houston,UH,
Illinois,ILL,
Indiana,IU,
Iowa,IOWA,
Iowa State,IAST,
Kansas,KAN,
Kansas State,KSU,
Kent State,KENT,
Kentucky,KENTUCKY,
Liberty,LIB,
Louisiana,ULL,
Louisiana Tech,LATEC,
Louisiana-Monroe,ULM,
Louisville,LOU,
LSU,LSU,
Marshall,MARSH,
Maryland,UMD,
Massachusetts,UMASS,
Memphis,MPHS,
Miami (FL),MIA,
Miami (OH),MIAOH,
Michigan,MICH,
Michigan State,MIST,
Middle Tennessee State,MTSU,
Minnesota,MINN,
Mississippi State,MS-ST,
Missouri,MIZZOU,
Navy,USNA,
Nebraska,NEB,
Nevada,NV,
Nevada-Las Vegas,UNLV,
New Mexico,UNM,
New Mexico State,NMST,
North Carolina,UNC,
North Carolina State,NCSU,
North Texas,UNTX,
Northern Illinois,NIU,
Northwestern,NWST,
Notre Dame,ND,
Ohio,OHIO,
Ohio State,OHST,
Oklahoma,OKLA,
Oklahoma State,OKST,
Old Dominion,ODU,
Ole Miss,MISS,
Oregon,ORE,
Oregon State,OR-ST,
Penn State,PSU,
Pitt,PITT,
Purdue,PUR,
Rice,RICE,
Rutgers,RUT,
San Diego State,SDSU,
San Jose State,SJSU,
SMU,SMU,
South Alabama,SO-AL,
South Carolina,SCAR,
South Florida,USF,
Southern Mississippi,SOMS,
Stanford,STAN,
Syracuse,SYR,
Temple,TEMPLE,
Tennessee,TENN,
Texas,TEX,
Texas A&M,TAMU,
Texas Christian,TCU,
Texas State,TX-ST,
Texas Tech,TXTEC,
Toledo,TOL,
Troy,TROY,
Tulane,TULN,
Tulsa,TLSA,
UAB,UAB,
UCF,UCF,
UCLA,UCLA,
USC,USC,
Utah,UTAH,
Utah State,UT-ST,
UTEP,UTEP,
UTSA,UTSA,
Vanderbilt,VANDY,
Virginia,UVA,
Virginia Tech,VT,
Wake Forest,WF,
Washington,WASH,
Washington State,WASH-ST,
West Virginia,WVU,
Western Kentucky,WKY,
Western Michigan,W-MICH,
Wisconsin,WIS,
Wyoming,WYO,
Western Carolina,W-CAR,
Northwestern State,NWSU,
Samford,SAMF,
Lamar,LAMAR,
Southeastern Louisiana,SE-LA,
Abilene Christian,ABI-XN,
Portland State,PORT-ST,
Tennessee-Martin,UT-MART,
Towson,TOWSN,
Murray State,MU-ST,
Southeast Missouri State,SO-MO-ST,
Charleston Southern,CHA-SO,
Chattanooga,UT-CHAT,
East Tennessee State,ETSU,
Wofford,WOFF,
Elon,ELON,
Richmond,RICH,
Eastern Kentucky,EST-KY,
Alabama State,ALA-ST,
Holy Cross,HO-CRS,
William & Mary,WL-MA,
Delaware,DE,
Furman,FURMAN,
Rhode Island,URI,
North Carolina A&T,NCAT,
Mercer,MERCER,
Bethune-Cookman,BETH,
Citadel,EL-CID,
Bucknell,BKNELL,
Florida A&M,FAMU,
South Carolina State,SC-ST,
Gardner-Webb,G-WEBB,
Wagner,WAGNER,
Southern,SOUTH,
Missouri State,MO-ST,
Prairie View A&M,PVAM,
Stephen F. Austin,SFAUS,
South Dakota,SDAK,
Northern Iowa,NO-IA,
Nicholls State,NICH,
Arkansas-Pine Bluff,ARK-PB,
McNeese State,MCNEESE,
Montana State,MT-ST,
James Madison,JMU,
Indiana State,IND-ST,
Idaho,IDAHO,
Eastern Illinois,EST-IL,
Howard,HOWARD,
South Dakota State,SD-ST,
Central Arkansas,C-ARK,
Virginia Military Institute,VMI,
New Hampshire,UNH,
Tennessee State,TN-ST,
Norfolk State,NFLK-ST,
Grambling State,GRAMB,
Alcorn State,ALCORN,
Incarnate Word,INCARN,
Houston Baptist,HOU-BAP,
Idaho State,ID-ST,
Kennesaw State,KSW,
Tennessee Tech,TN-TEK,
Robert Morris,RO-MO,
Morgan State,MORGN,
Fordham,FORDHAM,
Albany,ALBANY,
Monmouth,MON,
Central Connecticut State,CT-CT,
Illinois State,ILL-ST,
Stony Brook,SBRK,
Colgate,COLGATE,
Western Illinois,W-ILL,
Sam Houston State,SAM-HOU,
Weber State,WEB-ST,
Sacramento State,SAC-ST,
Northern Colorado,NO-CO,
Southern Utah,SO-UT,
Hampton,HAMP,
Maine,MAINE,
Southern Illinois,SO-ILL,
Montana,MONTANA,
Cal Poly,CA-POLY,
Eastern Washington,EST-WA,
California-Davis,UC-DAVIS,
Northern Arizona,NO-AZ,
Campbell,CAMPBELL,
Texas Southern,TX-SO,
Jackson State,JACK-ST,