code,name,state,city,longitude,latitude,built,capacity,surface
NIPPERT,Nippert Stadium,OH,Cincinnati,39.131°N,84.516°W,1915,40000,UBU
RAYJAY,Raymond James Stadium,FL,Tampa,27°58′33″N,82°30′12″W,1998,65618,TIF-419
SPECTRUM,Spectrum Stadium,FL,Orlando,28.6091°N,81.1924°W,2007,44206,TIF-419
LINC,Lincoln Financial Field,PA,Philadelphia,39°54′3″N,75°10′3″W,2003,69796,NB-BERMUDA
DOWDY,Dowdy-Ficklen Stadium,NC,Greenville,35°35′47″N,77°21′55″W,1963,51000,TIF-419
PRATT,Pratt & Whitney Stadium,CT,East Hartford,41°45′35″N,72°37′8″W,2003,38066,KENTUCKY
GJF,Gerald J. Ford Stadium,TX,Dallas,32°50′11.92″N,96°47′2.38″W,2000,32000,FIELD-TURF
YULMAN,Yulman Stadium,LA,New Orleans,29°56′41″N,90°07′01″W,2014,30000,UBU
NAVY,Navy-Marine Corps Memorial Stadium,MD,Annapolis,38.985°N,76.507°W,1959,34000,FIELD-TURF
TDECU,TDECU Stadium,TX,Houston,29°43′19″N,95°20′57″W,2014,40000,UBU
SKELLY,H.A. Chapman Stadium,OK,Tulsa,36°8′55″N,95°56′38″W,1930,30000,FIELD-TURF
LIB-BOWL,Liberty Bowl Memorial Stadium,TN,Memphis,35°7′16″N,89°58′39″W,1965,58318,FIELD-TURF
DV,Clemson Memorial Stadium,SC,Clemson,34°40′43″N,82°50′35″W,1942,81500,TIF-419
BC-ALUM,Alumni Stadium,MA,Chestnut Hill,42°20′6″N,71°09′59″W,1957,44500,ASTRO-TURF
CDOME,Carrier Dome,NY,Syracuse,43°2′10″N,76°8′11″W,1980,49262,FIELD-TURF
CRT-FIN,Carter-Finley Stadium,NC,Raleigh,35°48′3″N,78°43′10″W,2006,57583,TIF-419
DOAK,Doak Campbell Stadium,FL,Tallahassee,30°26′17″N,84°18′16″W,1950,79560,TIF-419
BBT,BB&T Field at Groves Stadium,NC,Winston-Salem,36°7′50″N,80°15′17″W,1968,31500,FIELD-TURF
CARDINAL,Cardinal Stadium,KY,Louisville,38°12′21″N,85°45′32″W,1998,61000,FIELD-TURF
BDODD,Bobby Dodd Stadium,GA,Atlanta,33°46′21″N,84°23′34″W,1913,55000,BERMUDA
LANE,Lane Stadium,VA,Blacksburg,37°13′12″N,80°25′05″W,1965,65632,BERMUDA
HEINZ,Heinz Field,PA,Pittsburgh,40°26′48″N,80°0′57″W,2001,68400,KENTUCKY
SCOTT,Scott Stadium,VA,Charlottesville,38°1′52″N,78°30′49″W,1931,61500,GRASS
HROK,Hard Rock Stadium,FL,Miami Gardens,25°57′29″N,80°14′20″W,1987,64767,TIF-419
WWADE,Wallace Wade Stadium,NC,Durham,35°59′43″N,78°56′30″W,1929,40000,BERMUDA
KENAN,Kenan Memorial Stadium,NC,Chapel Hill,35°54′25″N,79°2′52″W,1927,50500,ASTRO-TURF
GAY,Gaylord Family Oklahoma Memorial Stadium,OK,Norman,35°12′21″N,97°26′33″W,1923,80126,TIF-419
MPS,Milan Puskar Stadium,WV,Morgantown,39°39′1″N,79°57′17″W,1980,60000,FIELD-TURF
ACRTR,Amon G. Carter Stadium,TX,Fort Worth,32°42′35″N,97°22′5″W,1930,45000,TIF-419
MCLANE,McLane Stadium,TX,Waco,31.5582°N,97.1157°W,2014,45140,MATRIX
JNZ-ATT,Jones AT&T Stadium,TX,Lubbock,33°35′28″N,101°52′22″W,1947,60454,FIELD-TURF
BOONE,Boone Pickens Stadium,OK,Stillwater,36°7′33″N,97°3′59″W,1920,60218,ASTRO-TURF
TRICE,Jack Trice Stadium,IA,Ames,42°0′51″N,93°38′9″W,1975,61500,GRASS
BOOTH,David Booth Kansas Memorial Stadium,KS,Lawrence,38°57′47″N,95°14′47″W,1921,50071,FIELD-TURF
SNYDER,Bill Snyder Family Stadium Wagner Field,KS,Manhattan,39°12′7″N,96°35′38″W,1967,50000,ASTRO-TURF
DKR,Darrell K Royal–Texas Memorial Stadium,TX,Austin,30°17′1″N,97°43′57″W,1924,100119,FIELD-TURF
OHIO,Ohio Stadium,OH,Columbus,40°0′6″N,83°1′11″W,1922,102780,FIELD-TURF
BIGHOUSE,Michigan Stadium,MI,Ann Arbor,42°15′57″N,83°44′55″W,1927,107601,FIELD-TURF
SPARTY,Spartan Stadium,MI,East Lansing,42°43′41″N,84°29′5″W,1923,75005,GRASS
IU-MEM,Memorial Stadium,IN,Bloomington,39°10′51″N,86°31′32″W,1960,52656,FIELD-TURF
SHI,SHI Stadium,NJ,Piscataway,40°30′49″N,74°27′55″W,1994,41500,FIELD-TURF
MARYLAND,Capital One Field at Maryland Stadium,MD,College Park,38°59′25″N,76°56′50″W,1950,51802,FIELD-TURF
BVR,Beaver Stadium,PA,University Park,40°48′44″N,77°51′22″W,1960,106572,GRASS
RYAN,Ryan Field,IL,Evanston,42°3′56″N,87°41′33″W,1926,47130,GRASS
CMP-RNDL,Camp Randal Stadium,WI,Madison,43°4′12″N,89°24′46″W,1917,80321,FIELD-TURF
TCFB,TCF Bank Stadium,MN,Minneapolis,44.976°N,93.225°W,2009,50805,FIELD-TURF
KNNCK,Kinnick Stadium,IA,Iowa City,41°39′31″N,91°33′4″W,1929,69250,FIELD-TURF
ILL-MEM,Memorial Stadium,IL,Champaign,40°5′57″N,88°14′9″W,1923,60670,FIELD-TURF
ROSS-ADE,Ross-Ade Stadium,IA,West Lafayette,40°26′4″N,86°55′6″W,1924,57236,BERMUDA
NEB-MEM,Memorial Stadium,NE,Lincoln,40°49′14″N,96°42′20″W,1923,85458,FIELD-TURF
JCE,Joan C. Edwards Stadium,WV,Huntington,38°25′30″N,82°25′15″W,1991,38227,ASTRO-TURF
SILVA,Riccardo Silva Stadium,FL,Miami,25°45′9″N,80°22′40″W,1995,20000,FIELD-TURF
RED-FLOYD,Johnny 'Red' Floyd Stadium,TN,Murfreesboro,35.850513°N,86.368223°W,1933,30788,SHAW
JERRY-R,Jerry Richardson Stadium,NC,Charlotte,35°18′38″N,80°44′25″W,2013,15314,MATRIX
FAU,FAU Stadium,FL,Boca Raton,26°22′31″N,80°6′1″W,2011,29419,BERMUDA
LTSMITH,Houchens Industries-L.T. Smith Stadium,KY,Bowling Green,36°59′5″N,86°27′34″W,1968,22113,FIELD-TURF
BALLARD,S.B. Ballard Stadium,VA,Norfolk,36°53′20.04″N,76°18′17.56″W,1936,22480,ASTRO-TURF
AILLET,Joe Aillet Stadium,LA,Ruston,32°31′56″N,92°39′21″W,1968,28562,FIELD-TURF
LEGION,Legion Field,AL,Birmingham,33°30′41″N,86°50′34″W,1927,71594,FIELD-TURF
MMROB,M.M. Roberts Stadium,MS,Hattiesburg,31°19′44″N,89°19′53″W,1932,36000,SHAW
ALAMO,Alamodome,TX,San Antonio,29°25′1″N,98°28′44″W,1993,64000,ASTRO-TURF
APOGEE,Apogee Stadium,TX,Denton,33°12′13″N,97°9′34″W,2011,30850,SHAW
RICE,Rice Stadium,TX,Houston,29°42′59″N,95°24′33″W,1950,47000,ASTRO-TURF
SUN-BOWL,Sun Bowl,TX,El Paso,31.773°N,106.508°W,1963,51500,FIELD-TURF
NOTRE-DAME,Notre Dame Stadium,IN,South Bend,41.698°N,86.234°W,1930,77622,TURF
ARMY,Michie Stadium,NY,West Point,41°23′15″N,73°57′51″W,1924,38000,FIELD-TURF
LAVELL,Lavell Edwards Stadium,UT,Provo,40.258°N,111.655°W,1964,63470,GRASS
LIB-WILL,Williams Stadium,VA,Lynchburg,37°21′14.4″N,79°10′30″W,1989,25000,FIELD-TURF
MCGUIRK,Warren McGuirk Alumni Stadium,MA,Amherst,42°22′38.30″N,72°32′9.67″W,1965,17000,FIELD-TURF
AGG-MEM,Aggie Memorial Stadium,NM,Las Cruces,32°16′47″N,106°44′28″W,1978,30343,UBU
BUFF,UB Stadium,NY,Amherst,42°59′57″N,78°46′39″W,1993,25013,A-TURF
YAGER,Fred C. Yager Stadium,OH,Oxford,39°31′10″N,84°43′58″W,1983,24286,FIELD-TURF
SUMMA,InfoCision Stadium - Summa Field,OH,Akron,41°4′20.4492″N,81°30′28.8684″W,2009,30000,PROGRASS
PEDEN,Peden Stadium,OH,Athens,39°19′16″N,82°6′10″W,1929,27000,FIELD-TURF
DP,Doyt Perry Stadium,OH,Bowling Green,41°22′41″N,83°37′21″W,1966,24000,FIELD-TURF
DIX,Dix Stadium,OH,Kent,41°8′21″N,81°18′48″W,1969,25319,FIELD-TURF
BRIG,Huskie Stadium,IL,Dekalb,41.933623°N,88.777759°W,1965,23595,FIELD-TURF
WALDO,Waldo Stadium,MI,Kalamazoo,42°17′9″N,85°36′4″W,1939,30200,FIELD-TURF
SCHEU,Scheumann Stadium,IN,Muncie,40°12′58″N,85°25′0″W,1967,22500,FIELD-TURF
GLASS,Glass Bowl,OH,Toledo,41°39′25″N,83°36′49″W,1937,26038,FIELD-TURF
KEL-SH,Kelly/Shorts Stadium,MI,Mount Pleasant,43°34′39″N,84°46′15″W,1972,30255,FIELD-TURF
RYNEAR,Rynearson Stadium,MI,Ypsilanti,42°15′21″N,83°38′50″W,1969,30200,FIELD-TURF
ALB,Albertsons Stadium,ID,Boise,43.603°N,116.196°W,1970,36387,FIELD-TURF
MAVERIK,Maverik Stadium,UT,Logan,41°45′06″N,111°48′42″W,1969,25100,ASTRO-TURF
DREAM,Dreamstyle Stadium,NM,Albuquerque,35°4′1″N,106°37′42″W,1960,39224,FIELD-TURF
WAR-MEM,War Memorial Stadium,WY,Laramie,41.312°N,105.568°W,1950,29181,FIELD-TURF
CANVAS,Canvas Stadium,CO,Fort Collins,40°34′12″N,105°05′19″W,2017,41000,SHAW
FALCON,Falcon Stadium,CO,Colorado Springs,38.997°N,104.843°W,1962,46692,FIELD-TURF
ALOHA,Aloha Stadium,HI,Halawa,21.373°N,157.93°W